name,vacancy_rate,rental_stock,population,rental_pop,state,region
Hinchinbrook,0.24,8,11227.0,19.45,New South Wales,Liverpool
Hoxton Park,0.5,7,4354.0,21.09,New South Wales,Liverpool
Carnes Hill,0.44,4,2044.0,11.68,New South Wales,Liverpool
Horningsea Park,0.57,6,3732.0,18.59,New South Wales,Liverpool
West Hoxton,0.61,17,10013.0,14.25,New South Wales,Liverpool
Middleton Grange,0.72,17,5176.0,22.29,New South Wales,Liverpool
Cobbitty,1.75,35,2066.0,13.92,New South Wales,Camden
Bringelly,0.63,5,2510.0,18.19,New South Wales,Camden
Gledswood Hills,,29,21.0,,New South Wales,Camden
Gregory Hills,0.97,43,4984.0,19.15,New South Wales,Camden
Leppington,1.38,63,3497.0,24.67,New South Wales,Camden
Catherine Field,1.31,25,1652.0,12.05,New South Wales,Camden
Oran Park,1.64,111,4765.0,28.21,New South Wales,Camden
Bonnyrigg Heights,0.48,10,7304.0,15.9,New South Wales,Fairfield
Bonnyrigg,0.58,20,8667.0,39.9,New South Wales,Fairfield
Bossley Park,0.5,24,14585.0,23.55,New South Wales,Fairfield
Abbotsbury,0.15,2,4248.0,7.77,New South Wales,Fairfield
Cabramatta,0.91,69,21782.0,43.06,New South Wales,Fairfield
Lansvale,1.05,9,2569.0,19.29,New South Wales,Fairfield
Cabramatta West,0.95,22,7222.0,33.9,New South Wales,Fairfield
Mount Pritchard,1.14,40,9955.0,27.84,New South Wales,Fairfield
Canley Vale,0.78,27,10209.0,36.12,New South Wales,Fairfield
Canley Heights,0.96,36,10974.0,32.46,New South Wales,Fairfield
Edensor Park,0.68,21,9775.0,21.81,New South Wales,Fairfield
Greenfield Park,0.65,10,5092.0,21.77,New South Wales,Fairfield
Prairiewood,0.48,6,3242.0,26.91,New South Wales,Fairfield
Horsley Park,0.43,3,1833.0,16.03,New South Wales,Fairfield
Kemps Creek,0.6,5,2269.0,24.6,New South Wales,Penrith
Smithfield,0.67,31,11971.0,35.18,New South Wales,Fairfield
Wetherill Park,0.92,19,6134.0,19.29,New South Wales,Fairfield
St Johns Park,0.37,7,6122.0,15.86,New South Wales,Fairfield
Wakeley,0.39,6,4744.0,19.01,New South Wales,Fairfield
Casula,0.98,56,15664.0,25.74,New South Wales,Liverpool
Chipping Norton,0.63,21,9007.0,16.68,New South Wales,Liverpool
Moorebank,1.16,47,9748.0,16.44,New South Wales,Liverpool
Holsworthy,1.23,21,5476.0,29.51,New South Wales,Campbelltown
Wattle Grove,0.5,15,8958.0,27.34,New South Wales,Liverpool
Lurnea,1.04,36,9314.0,34.13,New South Wales,Liverpool
Cartwright,0.7,8,2375.0,46.58,New South Wales,Liverpool
Warwick Farm,1.62,54,5886.0,54.75,New South Wales,Liverpool
Edmondson Park,1.74,95,2272.0,21.9,New South Wales,Liverpool
Liverpool,2.15,303,27087.0,47.2,New South Wales,Liverpool
Prestons,0.61,29,15310.0,16.02,New South Wales,Liverpool
Gymea,0.71,26,7587.0,28.45,New South Wales,Sutherland Shire
Grays Point,0.48,5,3123.0,5.09,New South Wales,Sutherland Shire
Miranda,1.2,102,15284.0,29.76,New South Wales,Sutherland Shire
Yowie Bay,0.62,7,3072.0,8.03,New South Wales,Sutherland Shire
Sylvania,0.73,33,10480.0,19.45,New South Wales,Sutherland Shire
Taren Point,0.21,2,1733.0,16.86,New South Wales,Sutherland Shire
Caringbah,1.14,73,11666.0,33.52,New South Wales,Sutherland Shire
Caringbah South,0.47,25,12241.0,10.12,New South Wales,Sutherland Shire
Cronulla,1.45,148,18070.0,34.66,New South Wales,Sutherland Shire
Kurnell,1.0,9,2275.0,13.19,New South Wales,Sutherland Shire
Bundeena,0.94,9,1919.0,11.48,New South Wales,Sutherland Shire
Port Hacking,0.25,1,1093.0,5.6,New South Wales,Sutherland Shire
Dolans Bay,,0,596.0,5.61,New South Wales,Sutherland Shire
Woolooware,1.36,36,3967.0,17.86,New South Wales,Sutherland Shire
Burraneer,0.51,7,3586.0,8.69,New South Wales,Sutherland Shire
Heathcote,0.29,7,6012.0,13.04,New South Wales,Sutherland Shire
Waterfall,,0,495.0,9.55,New South Wales,Sutherland Shire
Illawong,0.24,6,7275.0,7.51,New South Wales,Sutherland Shire
Alfords Point,0.2,2,3107.0,4.57,New South Wales,Sutherland Shire
Menai,0.27,10,10302.0,16.61,New South Wales,Sutherland Shire
Lucas Heights,,0,,,New South Wales,Sutherland Shire
Woronora,0.13,1,2192.0,9.87,New South Wales,Sutherland Shire
Oyster Bay,0.36,7,5490.0,7.38,New South Wales,Sutherland Shire
Como,0.95,76,14136.0,35.29,Western Australia,South Perth
Jannali,0.73,20,6189.0,24.3,New South Wales,Sutherland Shire
Royal National Park,,0,29.0,33.33,New South Wales,Sutherland Shire
Sutherland,1.2,73,10812.0,38.47,New South Wales,Sutherland Shire
Kirrawee,0.83,41,9282.0,22.61,New South Wales,Sutherland Shire
Engadine,0.29,19,17376.0,12.15,New South Wales,Sutherland Shire
Loftus,0.39,6,4128.0,8.97,New South Wales,Sutherland Shire
Yarrawarrah,,0,2732.0,6.6,New South Wales,Sutherland Shire
Woronora Heights,,0,2855.0,3.38,New South Wales,Sutherland Shire
Alfredton,1.44,71,9224.0,24.93,Victoria,Ballarat
Ballarat,,0,5326.0,32.79,Victoria,Ballarat
Buninyong,0.46,7,3714.0,13.24,Victoria,Ballarat
Delacombe,0.41,13,6301.0,22.23,Victoria,Ballarat
Smythes Creek,0.69,8,1466.0,4.23,Victoria,Golden Plains
Wendouree,1.06,58,10447.0,33.73,Victoria,Ballarat
Miners Rest,0.41,6,3095.0,15.12,Victoria,Ballarat
Ballarat East,1.23,39,5622.0,32.81,Victoria,Ballarat
Warrenheip,0.71,3,676.0,13.62,Victoria,Ballarat
Ballarat North,0.94,19,3923.0,27.08,Victoria,Ballarat
Invermay,1.08,20,3055.0,43.45,Tasmania,Launceston
Canadian,0.69,13,3607.0,27.33,Victoria,Ballarat
Mount Clear,1.14,18,3389.0,32.32,Victoria,Ballarat
Sebastopol,1.17,63,10032.0,35.26,Victoria,Ballarat
Redan,1.38,25,2881.0,39.93,Victoria,Ballarat
Creswick,0.51,9,3168.0,16.85,Victoria,Hepburn
Clunes,0.38,4,1725.0,11.55,Victoria,Hepburn
Daylesford,0.57,13,2548.0,17.71,Victoria,Hepburn
Avoca,0.33,8,4904.0,23.08,Queensland,Bundaberg
Beaufort,0.3,3,1540.0,14.61,Victoria,Pyrenees
Bendigo,1.87,62,5516.0,33.34,Victoria,Greater Bendigo
California Gully,0.66,14,4358.0,28.9,Victoria,Greater Bendigo
Eaglehawk,0.36,10,5692.0,26.33,Victoria,Greater Bendigo
East Bendigo,0.97,13,2092.0,31.55,Victoria,Greater Bendigo
Kennington,1.33,38,5643.0,31.3,Victoria,Greater Bendigo
Flora Hill,1.06,21,3955.0,44.57,Victoria,Greater Bendigo
Spring Gully,0.53,8,3002.0,19.46,Victoria,Greater Bendigo
Kangaroo Flat,0.59,33,10399.0,25.41,Victoria,Greater Bendigo
Golden Square,0.78,35,8825.0,28.73,Victoria,Greater Bendigo
Maiden Gully,0.25,5,4985.0,7.64,Victoria,Greater Bendigo
Strathfieldsaye,0.64,18,5430.0,12.6,Victoria,Greater Bendigo
White Hills,0.36,6,3221.0,28.22,Victoria,Greater Bendigo
Ascot,0.87,13,2571.0,21.89,Western Australia,Belmont
Castlemaine,0.5,20,6759.0,21.53,Victoria,Mount Alexander
Kyneton,0.35,13,6947.0,19.16,Victoria,Macedon Ranges
Woodend,0.27,8,5804.0,14.62,Victoria,Macedon Ranges
Bannockburn,0.41,10,5285.0,11.75,Victoria,Golden Plains
Winchelsea,0.39,5,1953.0,19.17,Victoria,Surf Coast
Geelong,2.29,82,5208.0,33.36,Victoria,Greater Geelong
Geelong West,1.45,54,6965.0,33.45,Victoria,Greater Geelong
Hamlyn Heights,0.89,28,6292.0,24.23,Victoria,Greater Geelong
Highton,1.02,90,18957.0,19.9,Victoria,Greater Geelong
Lara,0.44,43,16354.0,20.46,Victoria,Greater Geelong
Leopold,0.45,28,12817.0,16.35,Victoria,Greater Geelong
Newcomb,1.44,36,4505.0,32.46,Victoria,Greater Geelong
Moolap,0.26,2,1371.0,10.53,Victoria,Greater Geelong
North Geelong,0.98,14,2971.0,36.45,Victoria,Greater Geelong
Bell Park,0.8,23,5009.0,25.78,Victoria,Greater Geelong
Charlemont,2.54,37,362.0,17.35,Victoria,Greater Geelong
Corio,0.72,49,15293.0,33.18,Victoria,Greater Geelong
Lovely Banks,0.29,3,2301.0,15.42,Victoria,Greater Geelong
Grovedale,0.61,41,14304.0,23.89,Victoria,Greater Geelong
Mount Duneed,2.37,63,1577.0,12.48,Victoria,Greater Geelong
Norlane,1.19,58,8310.0,42.11,Victoria,Greater Geelong
Clifton Springs,0.6,22,7520.0,16.19,Victoria,Greater Geelong
Lorne,0.26,6,1109.0,6.8,Victoria,Surf Coast
Anglesea,0.25,9,2545.0,7.6,Victoria,Surf Coast
Portarlington,0.39,17,3625.0,14.32,Victoria,Greater Geelong
Point Lonsdale,0.49,16,2686.0,7.87,Victoria,Greater Geelong
Queenscliff,1.43,25,3374.0,39.61,New South Wales,Northern Beaches
Torquay,0.53,51,13260.0,16.86,Victoria,Surf Coast
Barwon Heads,0.58,14,3873.0,11.6,Victoria,Greater Geelong
Armstrong Creek,1.85,117,4248.0,22.46,Victoria,Greater Geelong
Ocean Grove,0.61,66,14163.0,15.68,Victoria,Greater Geelong
Alexandra,,0,2692.0,16.86,Victoria,Murrindindi
Euroa,0.26,5,3278.0,19.08,Victoria,Strathbogie
Kilmore,0.68,31,7956.0,21.78,Victoria,Mitchell
Broadford,0.49,11,4316.0,19.36,Victoria,Mitchell
Nagambie,0.4,7,1880.0,19.82,Victoria,Strathbogie
Seymour,0.5,18,6327.0,27.25,Victoria,Mitchell
Yea,0.57,6,1586.0,18.65,Victoria,Murrindindi
Benalla,0.47,28,10325.0,24.54,Victoria,Benalla
Rutherglen,0.22,3,2387.0,20.39,Victoria,Indigo
Wangaratta,0.49,47,18100.0,25.45,Victoria,Wangaratta
Beechworth,0.38,8,3862.0,18.91,Victoria,Indigo
Bright,0.38,7,2399.0,17.73,Victoria,Alpine
Mount Beauty,0.33,2,822.0,19.08,Victoria,Alpine
Chiltern,0.25,2,1601.0,11.79,Victoria,Indigo
Indigo Valley,,0,329.0,10.53,Victoria,Indigo
Myrtleford,0.23,4,3195.0,19.63,Victoria,Alpine
Towong,,0,134.0,13.79,Victoria,Towong
West Wodonga,0.53,36,14573.0,33.14,Victoria,Wodonga
Yackandandah,0.34,3,1810.0,15.65,Victoria,Indigo
Baranduda,0.68,11,2368.0,15.8,Victoria,Wodonga
Leneva,0.95,9,849.0,23.05,Victoria,Wodonga
Wodonga,0.86,82,18947.0,33.02,Victoria,Wodonga
Drouin,0.58,41,12348.0,22.36,Victoria,Baw Baw
Warragul,0.8,76,15753.0,20.82,Victoria,Baw Baw
Bairnsdale,0.78,32,7582.0,29.46,Victoria,East Gippsland
Bruthen,0.24,1,814.0,13.21,Victoria,East Gippsland
Omeo,0.34,1,404.0,14.0,Victoria,East Gippsland
Lake King,,0,91.0,11.76,Western Australia,Lake Grace
Lakes Entrance,0.63,20,4808.0,19.9,Victoria,East Gippsland
Orbost,,0,2230.0,20.07,Victoria,East Gippsland
Paynesville,0.3,8,3478.0,18.55,Victoria,East Gippsland
Foster,0.75,9,1842.0,18.55,Victoria,South Gippsland
French Island,,0,114.0,3.85,Victoria,Vic
Korumburra,0.21,5,4475.0,19.97,Victoria,South Gippsland
Leongatha,0.52,15,5656.0,22.36,Victoria,South Gippsland
Wilsons Promontory,,0,9.0,100.0,Victoria,South Gippsland
Wonthaggi,0.46,15,4966.0,27.57,Victoria,Bass Coast
Inverloch,0.53,26,5438.0,12.83,Victoria,Bass Coast
Churchill,0.58,14,4785.0,25.48,Victoria,Latrobe
Moe,0.63,35,8772.0,28.13,Victoria,Latrobe
Newborough,0.58,21,6759.0,22.61,Victoria,Latrobe
Morwell,1.45,110,13770.0,27.11,Victoria,Latrobe
Yallourn North,,0,1544.0,12.34,Victoria,Latrobe
Glengarry,0.18,1,1086.0,11.06,Victoria,Wellington
Traralgon,0.85,110,24940.0,23.63,Victoria,Latrobe
Longford,0.47,10,3863.0,24.6,Tasmania,Northern Midlands
Loch Sport,0.27,5,812.0,3.26,Victoria,Wellington
Maffra,0.51,13,5282.0,21.13,Victoria,Wellington
Rosedale,0.23,2,1658.0,16.25,Victoria,Wellington
Sale,0.81,60,13671.0,27.83,Victoria,Wellington
Yarram,0.08,1,2139.0,23.85,Victoria,Wellington
Brunswick East,1.42,123,11504.0,46.84,Victoria,Moreland
Brunswick West,1.4,120,14156.0,41.36,Victoria,Moreland
Pascoe Vale South,0.83,37,10067.0,18.63,Victoria,Moreland
Brunswick,1.11,160,24470.0,43.72,Victoria,Moreland
Coburg,0.91,115,26180.0,30.58,Victoria,Moreland
Alphington,1.21,39,5080.0,28.93,Victoria,Yarra
Thornbury,0.96,92,18564.0,37.38,Victoria,Darebin
Northcote,0.92,112,24562.0,33.57,Victoria,Darebin
Ascot Vale,0.91,67,14754.0,36.2,Victoria,Moonee Valley
Flemington,1.08,50,7716.0,51.26,Victoria,Melbourne
Moonee Ponds,1.22,109,14253.0,31.65,Victoria,Moonee Valley
Aberfeldie,0.7,12,3895.0,21.22,Victoria,Moonee Valley
Essendon,1.19,126,20600.0,31.89,Victoria,Moonee Valley
Docklands,3.38,400,10962.0,47.41,Victoria,Melbourne
East Melbourne,2.05,69,4960.0,41.44,Victoria,Melbourne
Parkville,2.38,75,7405.0,52.95,Victoria,Melbourne
South Yarra,2.13,396,25154.0,50.25,Victoria,Stonnington
West Melbourne,3.78,219,5517.0,49.96,Victoria,Melbourne
North Melbourne,2.21,235,14935.0,54.89,Victoria,Melbourne
South Wharf,,0,107.0,15.79,Victoria,Melbourne
Southbank,4.01,733,18709.0,47.94,Victoria,Melbourne
Albert Park,0.9,29,6216.0,31.57,Victoria,Port Phillip
Elwood,1.45,137,15550.0,45.05,Victoria,Port Phillip
Port Melbourne,1.2,118,16176.0,38.18,Victoria,Melbourne
St Kilda East,1.48,105,13097.0,43.93,Victoria,Port Phillip
South Melbourne,2.05,189,10921.0,45.19,Victoria,Port Phillip
St Kilda,2.11,326,20224.0,47.49,Victoria,Port Phillip
Armadale,1.24,84,13619.0,33.59,Western Australia,Armadale
Prahran,1.86,160,12984.0,46.44,Victoria,Stonnington
Toorak,1.12,86,12909.0,27.1,Victoria,Stonnington
Carlton North,1.03,32,6305.0,44.0,Victoria,Yarra
Princes Hill,0.87,9,2128.0,40.04,Victoria,Yarra
Collingwood,1.83,108,8510.0,53.33,Victoria,Yarra
Fitzroy,1.33,81,10444.0,49.81,Victoria,Yarra
Fitzroy North,1.22,84,12334.0,42.65,Victoria,Yarra
Clifton Hill,0.86,27,6337.0,33.36,Victoria,Yarra
Balwyn,1.03,63,13308.0,22.6,Victoria,Boroondara
Balwyn North,0.9,74,20403.0,16.81,Victoria,Boroondara
Camberwell,1.06,102,22079.0,23.75,Victoria,Boroondara
Glen Iris,0.89,107,25271.0,26.26,Victoria,Boroondara
Hawthorn East,1.91,153,14324.0,37.36,Victoria,Boroondara
Kew East,0.98,27,6637.0,21.8,Victoria,Boroondara
Hawthorn,2.07,272,23514.0,43.94,Victoria,Boroondara
Kew,0.96,109,24595.0,26.64,Victoria,Boroondara
Bulleen,0.73,36,10882.0,17.48,Victoria,Manningham
Doncaster,1.21,159,20950.0,24.58,Victoria,Manningham
Templestowe,0.71,47,16622.0,12.48,Victoria,Manningham
Templestowe Lower,0.56,33,13429.0,14.88,Victoria,Manningham
Doncaster East,0.98,129,28360.0,19.92,Victoria,Manningham
Blackburn,0.87,60,13944.0,22.36,Victoria,Whitehorse
Blackburn South,0.58,26,10794.0,21.44,Victoria,Whitehorse
Box Hill North,1.06,58,11866.0,29.02,Victoria,Whitehorse
Burwood East,1.05,57,10269.0,23.47,Victoria,Whitehorse
Mont Albert,0.79,18,4843.0,25.02,Victoria,Whitehorse
Beaumaris,0.54,32,13350.0,11.52,Victoria,Bayside
Brighton East,0.74,55,15992.0,19.34,Victoria,Bayside
Hampton,0.81,54,13391.0,21.88,Victoria,Bayside
Sandringham,0.67,37,10246.0,21.93,Victoria,Bayside
Black Rock,0.58,17,6157.0,17.34,Victoria,Bayside
Bentleigh,0.91,73,16155.0,23.65,Victoria,Glen Eira
McKinnon,1.39,38,6062.0,26.7,Victoria,Glen Eira
Carnegie,1.29,125,17387.0,39.41,Victoria,Glen Eira
Caulfield,1.05,27,5597.0,29.22,Victoria,Glen Eira
Elsternwick,1.06,57,10349.0,32.1,Victoria,Glen Eira
Hughesdale,1.29,45,7557.0,32.08,Victoria,Monash
Murrumbeena,1.13,55,9931.0,34.02,Victoria,Glen Eira
Ormond,1.44,57,8415.0,36.09,Victoria,Glen Eira
Glen Huntly,1.48,40,5034.0,45.6,Victoria,Glen Eira
Bentleigh East,1.07,142,27632.0,20.22,Victoria,Glen Eira
Aspendale Gardens,0.31,7,6528.0,9.67,Victoria,Kingston
Waterways,0.27,2,2454.0,8.45,Victoria,Kingston
Braeside,,0,22.0,50.0,Victoria,Kingston
Carrum,0.67,15,3983.0,28.34,Victoria,Kingston
Patterson Lakes,0.46,16,7561.0,13.91,Victoria,Kingston
Chelsea,1.08,46,7769.0,28.5,Victoria,Kingston
Bonbeach,0.67,24,6420.0,27.25,Victoria,Kingston
Chelsea Heights,0.36,8,5339.0,13.13,Victoria,Kingston
Edithvale,0.74,23,5802.0,22.93,Victoria,Kingston
Aspendale,0.73,23,6949.0,16.1,Victoria,Kingston
Mentone,0.82,55,12958.0,30.2,Victoria,Kingston
Moorabbin,0.97,31,5894.0,24.27,Victoria,Kingston
Heatherton,0.45,5,2912.0,23.84,Victoria,Kingston
Moorabbin Airport,,0,,,Victoria,Kingston
Mordialloc,,0,8166.0,27.34,Victoria,Kingston
Parkdale,0.69,38,11745.0,20.4,Victoria,Kingston
Malvern,1.04,52,10062.0,26.36,Victoria,Stonnington
Malvern East,1.46,158,21710.0,29.08,Victoria,Stonnington
Bundoora,1.16,139,28651.0,24.86,Victoria,Whittlesea
Greensborough,0.67,59,20816.0,15.81,Victoria,Banyule
Heidelberg,1.05,40,6226.0,33.93,Victoria,Banyule
Rosanna,0.79,30,8498.0,20.74,Victoria,Banyule
Heidelberg West,1.22,43,5547.0,46.07,Victoria,Banyule
Ivanhoe,1.32,98,12171.0,27.33,Victoria,Banyule
Ivanhoe East,0.48,9,3817.0,17.75,Victoria,Banyule
Eaglemont,0.77,13,3873.0,16.23,Victoria,Banyule
Montmorency,0.36,14,8968.0,16.0,Victoria,Banyule
Briar Hill,0.41,6,3149.0,16.63,Victoria,Banyule
Viewbank,0.45,12,6914.0,12.3,Victoria,Banyule
Yallambie,0.28,4,4114.0,25.0,Victoria,Banyule
Watsonia,0.93,23,5216.0,26.73,Victoria,Banyule
Kingsbury,1.04,17,3779.0,39.17,Victoria,Darebin
Preston,1.09,189,32851.0,34.51,Victoria,Darebin
Reservoir,1.01,256,50482.0,31.9,Victoria,Darebin
Eltham,0.34,25,18317.0,11.44,Victoria,Nillumbik
Hurstbridge,0.15,2,3449.0,8.48,Victoria,Nillumbik
Panton Hill,0.51,2,1059.0,6.74,Victoria,Nillumbik
Plenty,0.24,2,2362.0,3.7,Victoria,Nillumbik
Yarrambat,,0,1586.0,5.81,Victoria,Nillumbik
Research,0.31,3,2651.0,7.59,Victoria,Nillumbik
North Warrandyte,0.1,1,2957.0,5.29,Victoria,Nillumbik
Wattle Glen,0.15,1,1964.0,6.62,Victoria,Nillumbik
Diamond Creek,0.22,10,11733.0,9.44,Victoria,Nillumbik
Mill Park,0.64,72,29713.0,19.26,Victoria,Whittlesea
Thomastown,0.63,55,20522.0,24.26,Victoria,Whittlesea
Wallan,1.4,93,11073.0,17.52,Victoria,Mitchell
Whittlesea,0.3,7,5616.0,16.42,Victoria,Whittlesea
Epping,0.95,133,32392.0,25.48,Victoria,Whittlesea
South Morang,0.73,69,24060.0,19.04,Victoria,Whittlesea
Wollert,1.51,172,9054.0,18.21,Victoria,Whittlesea
Doreen,0.62,57,21296.0,20.38,Victoria,Nillumbik
Lalor,0.75,68,22595.0,23.02,Victoria,Whittlesea
Mernda,1.42,112,16454.0,24.52,Victoria,Whittlesea
Airport West,0.74,31,7567.0,22.24,Victoria,Moonee Valley
Keilor,0.34,8,5857.0,10.29,Victoria,Brimbank
Niddrie,1.55,40,5485.0,21.46,Victoria,Moonee Valley
Essendon West,0.4,3,1437.0,21.81,Victoria,Moonee Valley
Strathmore,0.94,33,8425.0,14.35,Victoria,Moonee Valley
Avondale Heights,0.99,52,11631.0,16.58,Victoria,Moonee Valley
Keilor East,0.8,50,14519.0,16.44,Victoria,Moonee Valley
Gisborne,0.71,32,8998.0,14.93,Victoria,Macedon Ranges
Macedon,,0,2038.0,7.62,Victoria,Macedon Ranges
Riddells Creek,0.45,8,3947.0,8.76,Victoria,Macedon Ranges
Romsey,0.49,11,4748.0,12.54,Victoria,Macedon Ranges
Coburg North,0.71,27,7599.0,26.19,Victoria,Moreland
Fawkner,0.98,57,14042.0,25.43,Victoria,Moreland
Gowanbrae,0.44,5,2769.0,12.98,Victoria,Moreland
Hadfield,1.02,30,5604.0,21.86,Victoria,Moreland
Glenroy,1.33,148,22245.0,31.42,Victoria,Moreland
Oak Park,1.24,41,6205.0,25.15,Victoria,Moreland
Pascoe Vale,1.08,96,17052.0,29.43,Victoria,Moreland
Sunbury,0.79,149,36082.0,19.09,Victoria,Hume
Diggers Rest,1.12,33,2763.0,15.92,Victoria,Melton
Broadmeadows,1.31,67,11962.0,39.69,Victoria,Hume
Campbellfield,0.51,10,5059.0,21.56,Victoria,Hume
Coolaroo,0.49,6,3182.0,26.11,Victoria,Hume
Gladstone Park,0.6,20,8341.0,17.55,Victoria,Hume
Westmeadows,0.88,24,5846.0,18.97,Victoria,Hume
Greenvale,0.77,63,15467.0,8.25,Victoria,Hume
Bulla,0.32,1,676.0,6.84,Victoria,Hume
Meadow Heights,0.81,40,14843.0,27.7,Victoria,Hume
Melbourne Airport,,0,98.0,,Victoria,Hume
Tullamarine,1.63,54,6609.0,30.29,Victoria,Hume
Craigieburn,1.39,298,50347.0,25.3,Victoria,Hume
Mickleham,2.38,157,3142.0,6.56,Victoria,Hume
Yuroke,,0,141.0,,Victoria,Hume
Somerton,,0,276.0,24.8,New South Wales,Tamworth Regional
Roxburgh Park,0.86,58,21816.0,18.93,Victoria,Hume
Bayswater,0.53,38,14435.0,25.6,Western Australia,Bayswater
Knoxfield,0.72,25,7464.0,19.92,Victoria,Knox
Scoresby,0.81,20,6023.0,18.61,Victoria,Knox
Lysterfield,0.04,1,6665.0,6.46,Victoria,Yarra Ranges
Rowville,0.47,60,33674.0,14.04,Victoria,Knox
Wantirna,0.69,40,13817.0,18.93,Victoria,Knox
Wantirna South,0.71,59,19276.0,19.56,Victoria,Knox
Boronia,0.65,71,22196.0,23.71,Victoria,Knox
Ferntree Gully,0.5,59,26424.0,18.78,Victoria,Knox
Upper Ferntree Gully,0.3,4,3412.0,12.13,Victoria,Knox
The Basin,0.28,5,4417.0,10.75,Victoria,Knox
Donvale,0.38,19,12345.0,14.68,Victoria,Manningham
Park Orchards,0.08,1,3823.0,3.35,Victoria,Manningham
Warrandyte,0.31,6,5500.0,7.33,Victoria,Manningham
Wonga Park,,0,3798.0,6.22,Victoria,Manningham
Bayswater North,0.34,13,8789.0,21.9,Victoria,Maroondah
Croydon Hills,0.18,3,4986.0,10.29,Victoria,Maroondah
Warranwood,0.06,1,4804.0,8.46,Victoria,Maroondah
Ringwood,0.91,84,17469.0,34.32,Victoria,Maroondah
Ringwood East,0.62,29,10264.0,26.29,Victoria,Maroondah
Ringwood North,0.24,9,9829.0,11.14,Victoria,Maroondah
Croydon South,0.23,5,4570.0,16.3,Victoria,Maroondah
Forest Hill,0.82,38,10624.0,24.86,Victoria,Whitehorse
Nunawading,0.77,42,11881.0,25.89,Victoria,Whitehorse
Vermont,0.79,33,10443.0,16.23,Victoria,Whitehorse
Vermont South,0.52,24,11674.0,12.78,Victoria,Whitehorse
Belgrave,0.32,5,3933.0,8.87,Victoria,Yarra Ranges
Selby,0.49,3,1656.0,6.7,Victoria,Yarra Ranges
Chirnside Park,0.34,15,9863.0,11.99,Victoria,Yarra Ranges
Healesville,0.26,9,7463.0,17.84,Victoria,Yarra Ranges
Yarra Glen,0.25,3,2864.0,13.63,Victoria,Yarra Ranges
Kilsyth,0.35,20,10891.0,18.16,Victoria,Yarra Ranges
Lilydale,0.26,20,16530.0,18.95,Victoria,Yarra Ranges
Coldstream,0.11,1,2165.0,11.28,Victoria,Yarra Ranges
Monbulk,0.28,4,3578.0,16.07,Victoria,Yarra Ranges
Silvan,,0,1250.0,7.93,Victoria,Yarra Ranges
Montrose,0.04,1,6763.0,10.62,Victoria,Yarra Ranges
Mooroolbark,0.57,54,21958.0,17.1,Victoria,Yarra Ranges
Mount Dandenong,0.18,1,1249.0,7.55,Victoria,Yarra Ranges
Olinda,0.12,1,1741.0,11.63,Victoria,Yarra Ranges
Mount Evelyn,0.14,5,9700.0,9.52,Victoria,Yarra Ranges
Upwey,0.27,7,6650.0,10.0,Victoria,Yarra Ranges
Tecoma,,0,2076.0,15.27,Victoria,Yarra Ranges
Seville,0.21,2,2385.0,7.56,Victoria,Yarra Ranges
Emerald,0.71,49,14350.0,33.01,Queensland,Central Highlands
Cockatoo,0.18,3,4257.0,10.18,Victoria,Cardinia
Officer,1.67,130,7137.0,22.78,Victoria,Cardinia
Bunyip,0.35,4,2469.0,11.78,Victoria,Cardinia
Garfield,0.34,3,1785.0,9.01,Victoria,Cardinia
Koo Wee Rup,0.19,3,3584.0,18.35,Victoria,Cardinia
Pakenham,0.84,185,46420.0,28.58,Victoria,Cardinia
Berwick,0.99,204,47671.0,20.21,Victoria,Casey
Doveton,0.53,24,9359.0,35.67,Victoria,Casey
Hallam,,0,10850.0,22.44,Victoria,Casey
Narre Warren North,0.08,2,7680.0,4.35,Victoria,Casey
Endeavour Hills,0.52,47,24296.0,15.86,Victoria,Casey
Narre Warren,0.89,97,26616.0,23.0,Victoria,Casey
Cranbourne,1.21,109,20087.0,26.78,Victoria,Casey
Cranbourne South,0.52,10,1676.0,8.53,Victoria,Casey
Cranbourne West,0.73,54,15032.0,19.17,Victoria,Casey
Lynbrook,0.86,23,8528.0,15.26,Victoria,Casey
Lyndhurst,0.92,27,6722.0,14.55,Victoria,Greater Dandenong
Pearcedale,,0,3818.0,8.04,Victoria,Casey
Tooradin,,0,1569.0,14.74,Victoria,Casey
Narre Warren South,0.52,49,30316.0,13.91,Victoria,Casey
Clyde North,2.11,264,8155.0,20.73,Victoria,Casey
Cranbourne East,1.1,91,16191.0,18.33,Victoria,Casey
Cranbourne North,1.17,92,20109.0,20.6,Victoria,Casey
Hampton Park,0.7,65,25529.0,23.78,Victoria,Casey
Clarinda,0.68,20,7484.0,21.12,Victoria,Kingston
Oakleigh South,0.73,32,9256.0,20.33,Victoria,Monash
Clayton South,1.62,99,12639.0,36.06,Victoria,Kingston
Dandenong North,0.68,58,22458.0,24.95,Victoria,Greater Dandenong
Dingley Village,0.22,9,10322.0,10.07,Victoria,Kingston
Noble Park North,0.74,22,7467.0,24.9,Victoria,Greater Dandenong
Springvale,0.84,72,21713.0,34.3,Victoria,Greater Dandenong
Springvale South,0.34,15,12767.0,23.34,Victoria,Greater Dandenong
Noble Park,0.98,129,30997.0,36.15,Victoria,Greater Dandenong
Dandenong,1.31,164,29901.0,46.71,Victoria,Greater Dandenong
