name,vacancy_rate,rental_stock,population,rental_pop,state
Wentworth,0.39,16,6800,19.76,New South Wales
Federation,0.32,24,12281,17.72,New South Wales
Murray River,0.22,26,11680,18.54,New South Wales
Berrigan,0.43,21,8462,19.0,New South Wales
Murrumbidgee,0.25,5,3835,25.89,New South Wales
Armidale Regional,1.23,183,29451,29.95,New South Wales
Walcha,0.17,3,3092,18.7,New South Wales
Glen Innes Severn,0.27,13,8834,21.35,New South Wales
Inverell,0.59,47,16487,26.22,New South Wales
Tenterfield,0.2,10,6629,17.39,New South Wales
Moree Plains,0.49,33,13158,31.28,New South Wales
Narrabri,0.31,20,13081,25.97,New South Wales
Gunnedah,0.91,57,12215,27.24,New South Wales
Liverpool Plains,0.36,15,7691,23.55,New South Wales
Tamworth Regional,0.93,277,59660,26.34,New South Wales
Greater Geelong,0.85,1258,233426,23.3,Victoria
Lake Macquarie,0.47,447,197369,21.07,New South Wales
Newcastle,1.04,850,155409,31.53,New South Wales
Moyne,0.26,27,16500,15.41,Victoria
Southern Grampians,0.23,20,15937,18.09,Victoria
Launceston,0.73,235,65275,30.07,Tasmania
Karratha,0.8,82,21472,51.15,Western Australia
Tablelands,0.28,41,24830,21.92,Queensland
Ballina,0.57,132,41792,25.06,New South Wales
Byron,0.64,121,31555,23.52,New South Wales
Richmond Valley,0.29,38,22815,25.27,New South Wales
Lismore,0.44,93,43134,25.09,New South Wales
Kyogle,0.25,12,8940,18.34,New South Wales
Tweed,0.51,243,91371,23.21,New South Wales
Leeton,0.32,16,11162,24.0,New South Wales
Narrandera,0.34,10,5852,20.75,New South Wales
Snowy Valleys,0.31,24,14394,20.11,New South Wales
Gundagai,0.39,23,11145,20.04,New South Wales
Junee,0.88,25,6295,21.39,New South Wales
Temora,0.61,20,6107,19.61,New South Wales
Wagga Wagga,1.21,362,62388,29.58,New South Wales
Shoalhaven,0.48,298,99654,18.36,New South Wales
Yarra Ranges,0.26,173,149539,13.37,Victoria
Wingecarribee,0.65,166,47878,16.9,New South Wales
Brisbane,1.27,6978,1131159,32.91,Queensland
The Hills Shire,0.97,735,157243,16.53,New South Wales
Hornsby,0.87,481,142666,20.89,New South Wales
Hawkesbury,0.61,160,64588,21.99,New South Wales
Brimbank,0.68,525,194317,23.53,Victoria
Whitehorse,1.24,945,162076,25.58,Victoria
Glenelg,0.4,45,19558,18.16,Victoria
Blacktown,1.29,1752,336970,29.79,New South Wales
Onkaparinga,0.33,261,166769,22.4,South Australia
Prospect,0.6,54,20518,28.85,South Australia
Parramatta,1.99,2222,226155,37.68,New South Wales
Botany Bay,2.09,597,46652,38.97,New South Wales
Inner West,1.58,1418,182038,37.82,New South Wales
Norwood Payneham St Peters,0.76,153,35360,33.99,South Australia
Sydney,2.76,3515,208378,49.98,New South Wales
Mundaring,0.08,13,38157,11.1,Western Australia
Cardinia,0.76,383,94134,20.94,Victoria
Waverley,1.74,544,66813,38.77,New South Wales
Randwick,1.44,927,140662,41.2,New South Wales
Woollahra,1.63,537,54244,30.73,New South Wales
Canterbury-Bankstown,1.16,1704,346298,32.78,New South Wales
Boroondara,1.19,1005,167232,26.89,Victoria
Georges River,1.17,676,146835,29.1,New South Wales
Rockdale,1.59,871,109403,32.68,New South Wales
Melbourne,3.48,4665,135965,52.2,Victoria
Canada Bay,1.76,717,88018,33.01,New South Wales
Yarra,1.48,850,86658,45.73,Victoria
Burwood,1.77,356,36815,37.77,New South Wales
Port Adelaide Enfield,0.54,336,121233,32.84,South Australia
Strathfield,2.46,584,40314,37.71,New South Wales
Maroondah,0.56,272,110375,21.88,Victoria
Lane Cove,1.18,224,36050,31.14,New South Wales
Willoughby,1.92,680,74305,33.4,New South Wales
Ku-ring-gai,1.03,526,118058,16.66,New South Wales
North Sydney,1.86,769,67657,42.57,New South Wales
Mosman,1.28,178,28482,29.25,New South Wales
Northern Beaches,0.8,873,252878,23.6,New South Wales
Gold Coast,1.02,2938,555721,31.09,Queensland
Hobsons Bay,0.85,363,88778,26.21,Victoria
Camden,0.87,423,78219,19.71,New South Wales
Southern Midlands,0.15,5,6041,13.49,Tasmania
Campbelltown,0.94,664,157004,30.43,New South Wales
Loddon,0.04,2,7515,12.07,Victoria
Wollondilly,0.7,163,48520,14.41,New South Wales
Blue Mountains,0.41,148,76902,16.01,New South Wales
Logan,0.95,1371,303383,29.98,Queensland
Penrith,1.13,991,196068,27.33,New South Wales
Stonnington,1.69,1038,103831,38.99,Victoria
Cumberland,1.67,1548,216076,36.44,New South Wales
Fairfield,0.79,536,198814,32.27,New South Wales
Casey,0.91,1300,299294,19.66,Victoria
Kingston,0.74,524,151389,22.8,Victoria
Ryde,1.61,1048,116300,34.91,New South Wales
Hunters Hill,0.99,43,14005,23.04,New South Wales
Liverpool,1.19,990,204326,29.0,New South Wales
Moorabool,0.57,95,31822,16.17,Victoria
Sutherland Shire,0.74,717,218466,19.57,New South Wales
South Perth,0.91,201,41986,31.38,Western Australia
Ballarat,0.96,538,101686,27.33,Victoria
Golden Plains,0.25,29,21691,7.72,Victoria
Hepburn,0.42,44,15330,12.48,Victoria
Pyrenees,0.11,5,7239,11.5,Victoria
Greater Bendigo,0.73,421,110479,24.07,Victoria
Belmont,0.96,213,39683,33.37,Western Australia
Mount Alexander,0.35,40,18758,14.61,Victoria
Macedon Ranges,0.4,93,46109,12.92,Victoria
Surf Coast,0.38,90,29397,12.14,Victoria
Murrindindi,0.18,15,13729,11.47,Victoria
Strathbogie,0.19,14,10272,14.94,Victoria
Mitchell,1.06,271,40910,19.33,Victoria
Benalla,0.39,31,13868,20.69,Victoria
Indigo,0.27,23,15955,15.95,Victoria
Wangaratta,0.38,56,28308,20.18,Victoria
Alpine,0.37,34,12335,16.97,Victoria
Towong,0.06,2,5985,15.16,Victoria
Wodonga,0.73,146,39348,31.33,Victoria
Baw Baw,0.51,142,48480,18.04,Victoria
East Gippsland,0.5,144,45041,17.07,Victoria
Lake Grace,,0,1266,20.45,Western Australia
South Gippsland,0.31,56,28699,13.3,Victoria
Vic,,0,881,17.14,Victoria
Bass Coast,0.49,151,32813,13.41,Victoria
Latrobe,0.79,300,73256,22.34,Victoria
Wellington,0.41,109,42984,17.56,Victoria
Northern Midlands,0.27,19,12816,20.7,Tasmania
Moreland,1.12,959,162560,33.21,Victoria
Darebin,1.01,666,146723,33.59,Victoria
Moonee Valley,1.07,586,116675,28.58,Victoria
Port Phillip,1.67,886,100866,43.19,Victoria
Armadale,0.76,317,79598,19.95,Western Australia
Manningham,0.8,430,116263,17.16,Victoria
Bayside,0.79,394,97092,20.32,Victoria
Glen Eira,1.18,817,140876,30.13,Victoria
Monash,1.12,929,182612,26.76,Victoria
Whittlesea,1.04,986,197494,22.25,Victoria
Banyule,0.85,482,121863,22.4,Victoria
Nillumbik,0.36,111,61276,8.98,Victoria
Hume,1.15,1098,197377,22.26,Victoria
Melton,1.01,609,135440,19.54,Victoria
Bayswater,0.62,204,64672,27.61,Western Australia
Knox,0.61,392,154106,18.86,Victoria
Central Highlands,0.62,98,27996,31.14,Queensland
Greater Dandenong,0.88,569,152051,31.54,Victoria
Gosnells,0.66,277,118071,21.34,Western Australia
Maribyrnong,1.49,681,82286,38.63,Victoria
Narrogin,0.08,2,5164,25.76,Western Australia
Wyndham,1.84,2315,217116,25.85,Victoria
Frankston,0.74,466,134142,26.09,Victoria
Mornington Peninsula,0.56,544,154997,14.32,Victoria
Ararat,0.53,32,11604,20.05,Victoria
Horsham,0.55,56,19636,21.77,Victoria
Northern Grampians,0.29,20,11436,18.34,Victoria
Mildura,0.78,217,53870,26.1,Victoria
Gannawarra,0.1,6,10547,17.28,Victoria
Swan Hill,0.29,30,20586,23.88,Victoria
Campaspe,0.26,50,37060,20.07,Victoria
Moira,0.31,52,29111,19.32,Victoria
Greater Shepparton,0.67,209,63837,24.9,Victoria
Colac-Otway,0.42,59,20974,16.05,Victoria
Warrnambool,0.47,83,33655,26.48,Victoria
Redland,0.55,380,147011,22.73,Queensland
Salisbury,0.49,304,137975,26.85,South Australia
Alice Springs,0.46,59,24756,33.08,Northern Territory
Greater Geraldton,0.55,103,38633,25.55,Western Australia
Cairns,0.82,666,156898,32.5,Queensland
Cassowary Coast,0.47,76,28727,25.18,Queensland
Yarrabah,,0,2559,79.72,Queensland
Douglas,1.31,104,11715,26.45,Queensland
Mareeba,0.26,28,21560,22.33,Queensland
Western Downs,0.37,66,33445,27.41,Queensland
Goondiwindi,0.08,4,10629,27.85,Queensland
Stirling,0.53,566,210208,28.4,Western Australia
Maranoa,0.3,23,12664,24.66,Queensland
Toowoomba,0.66,544,160777,27.69,Queensland
Southern Downs,0.27,52,35115,23.81,Queensland
Rockhampton,0.74,277,79728,28.31,Queensland
Livingstone,0.55,103,36275,20.59,Queensland
Banana,0.24,20,14318,25.57,Queensland
Gladstone,1.19,372,61643,26.74,Queensland
Scenic Rim,0.46,95,40077,20.76,Queensland
Northern Areas,0.13,4,4525,16.72,South Australia
Somerset,0.37,46,24593,21.84,Queensland
Ipswich,1.1,1056,193736,35.04,Queensland
Whitsunday,0.88,164,33781,26.81,Queensland
Isaac,1.37,172,20937,38.62,Queensland
Mackay,0.61,338,114967,26.27,Queensland
Melville,0.53,250,98078,20.56,Western Australia
Moreton Bay,0.79,1666,425303,28.79,Queensland
Aurukun,,0,1271,70.98,Queensland
Kowanyama,,0,947,84.59,Queensland
Pormpuraaw,,0,747,75.18,Queensland
Barkly,0.21,6,6654,40.62,Northern Territory
Carpentaria,,0,1956,28.45,Queensland
Mount Isa,1.5,137,18668,34.17,Queensland
Barcaldine,0.26,6,2859,20.95,Queensland
Blackall-Tambo,0.34,4,1899,24.28,Queensland
Murweh,,0,4309,23.72,Queensland
Longreach,0.29,8,3661,25.85,Queensland
Sunshine Coast,0.63,1024,294369,26.15,Queensland
Noosa,0.77,230,52150,20.62,Queensland
Lockyer Valley,0.64,108,38611,21.77,Queensland
Burdekin,0.11,10,17076,22.83,Queensland
Charters Towers,0.16,11,11882,22.65,Queensland
Hinchinbrook,0.5,31,10888,19.15,Queensland
Palm Island,,0,2446,87.45,Queensland
Townsville,1.01,900,186757,32.61,Queensland
West Wimmera,0.36,9,3901,13.59,Victoria
Unley,0.67,124,37722,28.48,South Australia
North Burnett,0.09,6,10477,20.97,Queensland
South Burnett,0.37,63,32185,23.54,Queensland
Gympie,0.38,103,49555,22.22,Queensland
Fraser Coast,0.54,319,101501,24.3,Queensland
ACT,1.05,2085,396856,28.56,Australian Capital Territory
Adelaide,1.46,235,22066,46.1,South Australia
Adelaide Hills,0.21,38,38859,10.82,South Australia
Mount Barker,0.39,73,33391,21.81,South Australia
Burnside,0.64,126,43908,21.01,South Australia
Campbelltown,0.64,174,50159,24.67,South Australia
Walkerville,0.51,20,7556,25.71,South Australia
Gawler,0.49,63,23037,27.55,South Australia
Mallala,0.22,11,8804,11.01,South Australia
Playford,0.9,428,89370,33.8,South Australia
Tea Tree Gully,0.37,158,97734,18.67,South Australia
Marion,0.41,191,88614,28.05,South Australia
SA,0.11,7,3529,18.84,South Australia
West Torrens,0.6,185,57901,32.98,South Australia
Barossa,0.17,15,23563,18.8,South Australia
Light,0.24,25,14729,13.43,South Australia
Clare and Gilbert Valleys,0.17,11,9024,19.46,South Australia
Wakefield,0.08,3,6802,19.21,South Australia
Peterborough,0.08,1,1684,16.18,South Australia
Port Pirie City and Dists,0.2,18,17367,25.78,South Australia
Copper Coast,0.11,11,14140,18.95,South Australia
Ceduna,0.26,6,3410,28.25,South Australia
Kimba,,0,1057,15.89,South Australia
Cleve,0.24,3,1764,16.01,South Australia
Elliston,0.1,1,1043,12.92,South Australia
Port Lincoln,0.76,56,14060,29.25,South Australia
Whyalla,1.17,140,21829,30.81,South Australia
Flinders Ranges,0.26,3,1640,18.67,South Australia
Port Augusta,0.47,36,13812,28.57,South Australia
Roxby Downs,4.39,79,3887,48.64,South Australia
Alexandrina,0.3,54,25871,15.03,South Australia
Victor Harbor,0.41,46,14658,18.27,South Australia
Yankalilla,0.11,5,5155,11.81,South Australia
Robe,0.2,4,1378,11.3,South Australia
Wattle Range,0.36,24,11675,18.21,South Australia
Naracoorte and Lucindale,0.11,5,8289,23.35,South Australia
Mount Gambier,0.72,92,26277,29.84,South Australia
Berri and Barmera,0.24,12,10542,26.54,South Australia
Karoonda East Murray,0.1,1,1090,15.19,South Australia
Southern Mallee,,0,2029,16.22,South Australia
Loxton Waikerie,0.21,14,11484,21.51,South Australia
Mid Murray,0.1,8,8638,10.39,South Australia
Murray Bridge,0.42,49,20858,29.47,South Australia
Renmark Paringa,0.14,7,9478,25.15,South Australia
Augusta-Margaret River,0.34,34,14263,20.38,Western Australia
Busselton,0.28,64,36687,20.29,Western Australia
Harvey,0.35,44,26552,18.68,Western Australia
Capel,0.32,25,17124,19.17,Western Australia
Bunbury,0.6,99,31919,29.39,Western Australia
Collie,0.19,8,8801,18.62,Western Australia
Dardanup,0.34,22,14029,20.06,Western Australia
Waroona,,0,4144,15.37,Western Australia
Bridgetown-Greenbushes,0.42,11,4654,16.4,Western Australia
Boyup Brook,0.2,2,1702,15.47,Western Australia
Donnybrook-Balingup,0.13,4,5875,13.64,Western Australia
Manjimup,0.16,9,9256,19.45,Western Australia
Mandurah,0.79,363,80806,22.19,Western Australia
Murray,0.24,23,16699,18.04,Western Australia
Cambridge,0.66,89,26787,20.35,Western Australia
Cottesloe,0.67,25,7595,23.32,Western Australia
Mosman Park,0.65,28,8750,29.35,Western Australia
Peppermint Grove,1.09,7,1636,21.35,Western Australia
Nedlands,0.63,78,21117,19.91,Western Australia
Subiaco,1.1,100,19357,38.17,Western Australia
Vincent,0.83,95,33698,33.45,Western Australia
Perth,2.04,438,21795,43.11,Western Australia
Bassendean,0.52,39,15090,24.64,Western Australia
Swan,0.55,356,133849,19.41,Western Australia
Wanneroo,0.54,467,188218,20.84,Western Australia
Victoria Park,0.9,152,34989,37.77,Western Australia
Canning,0.65,325,90188,26.48,Western Australia
Kalamunda,0.3,74,57448,15.29,Western Australia
Serpentine-Jarrahdale,0.51,66,26830,12.07,Western Australia
Cockburn,0.5,248,104470,21.8,Western Australia
East Fremantle,0.29,10,7375,18.77,Western Australia
Fremantle,0.53,89,28885,27.61,Western Australia
Kwinana,0.81,157,38914,22.84,Western Australia
Rockingham,0.77,453,125108,22.26,Western Australia
Albany,0.29,54,36584,23.51,Western Australia
Denmark,0.16,6,5848,17.99,Western Australia
Gnowangerup,0.12,1,1217,23.17,Western Australia
Katanning,0.21,4,4156,26.3,Western Australia
Kojonup,0.06,1,1982,21.44,Western Australia
Plantagenet,0.04,1,5079,17.96,Western Australia
Chittering,0.04,1,5471,8.83,Western Australia
Cunderdin,,0,1455,23.33,Western Australia
Dowerin,,0,688,20.46,Western Australia
Gingin,0.09,4,5213,9.68,Western Australia
Dandaragan,0.35,11,3212,12.3,Western Australia
Merredin,0.11,2,3347,26.13,Western Australia
Moora,0.06,1,2432,21.74,Western Australia
Mukinbudin,,0,554,23.26,Western Australia
Northam,0.16,9,11112,20.94,Western Australia
Toodyay,,0,4440,10.3,Western Australia
York,0.1,2,3603,15.2,Western Australia
Brookton,,0,976,20.08,Western Australia
Kulin,,0,769,16.49,Western Australia
Wagin,,0,1856,18.59,Western Australia
Broome,0.67,66,16215,35.96,Western Australia
Derby-West Kimberley,0.14,5,7727,47.19,Western Australia
Halls Creek,,0,3266,46.26,Western Australia
Wyndham-East Kimberley,0.12,5,7147,37.86,Western Australia
East Pilbara,1.39,48,10587,44.24,Western Australia
Port Hedland,1.66,135,14472,46.48,Western Australia
Esperance,0.04,3,14237,24.32,Western Australia
Carnarvon,0.08,3,5531,25.18,Western Australia
Exmouth,0.16,4,2734,20.93,Western Australia
Kalgoorlie/Boulder,0.98,134,30050,30.3,Western Australia
Coolgardie,1.62,29,3610,26.7,Western Australia
Dundas,,0,770,13.82,Western Australia
Leonora,,0,1412,36.14,Western Australia
Irwin,0.43,9,3571,20.62,Western Australia
Meekatharra,,0,1063,30.3,Western Australia
Morawa,,0,746,27.82,Western Australia
Northampton,0.11,3,3319,16.63,Western Australia
Brighton,0.45,38,16515,29.82,Tasmania
Clarence,0.43,123,54820,20.82,Tasmania
Glenorchy,0.5,113,46252,30.4,Tasmania
Derwent Valley,0.17,10,10024,21.43,Tasmania
Kingborough,0.35,64,35848,18.35,Tasmania
Hobart,0.81,216,50445,30.68,Tasmania
Sorell,0.38,32,14414,16.01,Tasmania
West Tamar,0.46,60,22720,16.05,Tasmania
Meander Valley,0.34,35,19279,19.02,Tasmania
George Town,0.89,37,6759,22.86,Tasmania
Break O'Day,0.46,24,6107,13.14,Tasmania
Dorset,0.64,27,6616,17.6,Tasmania
Huon Valley,0.42,39,16206,14.42,Tasmania
Glamorgan/Spring Bay,0.42,20,4400,11.34,Tasmania
Burnie,0.69,67,18891,27.61,Tasmania
Central Coast,0.21,22,21367,20.21,Tasmania
Waratah/Wynyard,0.21,16,13574,21.42,Tasmania
Devonport,0.36,47,24700,28.74,Tasmania
Latrobe,0.51,32,10698,20.11,Tasmania
Kentish,0.22,7,6127,12.8,Tasmania
Circular Head,0.41,17,7920,22.25,Tasmania
Darwin,1.29,478,78798,38.62,Northern Territory
NT,,0,6906,44.79,Northern Territory
Litchfield,0.24,22,23858,16.18,Northern Territory
Palmerston,1.14,178,33788,40.81,Northern Territory
MacDonnell,,0,6034,45.0,Northern Territory
Corangamite,0.11,10,16053,18.08,Victoria
Central Desert,,0,3674,57.31,Northern Territory
West Daly,,0,3165,67.84,Northern Territory
Tiwi Islands,,0,2451,74.55,Northern Territory
West Arnhem,,0,6190,55.47,Northern Territory
East Arnhem,0.03,1,9025,69.18,Northern Territory
Roper Gulf,,0,6503,40.59,Northern Territory
Katherine,0.87,38,9726,36.27,Northern Territory
Victoria Daly,0.16,2,2813,39.82,Northern Territory
Unincorp. Other Territories,,0,4522,31.67,Other Territories
Beverley,0.09,1,1739,12.94,Western Australia
Holdfast Bay,0.73,141,35363,27.53,South Australia
